ftst_tckr_no,topc_id,kor_item_name,item_eng_dtl_name,bzns_otln_dtl_text,myd_excg_no,oppr_tot_amt
348950-KR,CP0000002884,JR글로벌리츠,JR GLOBAL REIT,"JR Global REIT operates as real estate investment trust. The company was founded on October 18, 2019 and is headquartered in Seoul, South Korea.",KRX,742.5
319660-KR,CP0000003149,피에스케이,PSK INC,"동사는 피에스케이홀딩스에서 전공정 장비 부분만 독립하여 설립된 반도체 장비 회사로 PR Strip 장비 글로벌 1위 기업임. 삼성전자, SK하이닉스 등 국내외 글로벌 업체들을 고객사로 확보하고 있으며, 램리서치(미국), Mattson Tech(중국), 히타치(일본) 등과 경쟁함. 매출구성은 반도체 공정장비류 외 64.44%, 기타 35.56%로 이루어져 있음.",KRX,571218
950130-KR,CP0000003150,엑세스바이오,"Access Bio, Inc. Shs Korean Deposit Receipt Repr. 1 shs","동사는 체외진단 기술을 토대로  면역화학진단, 바이오센서, 분자진단 기술을 기반으로 진단 제품을 개발, 제조, 판매하는 사업을 영위함. 주요 제품은 말라리아, 독감, 코로나 같은 감염성 질병을 진단하는 신속진단시약임. 말라리아 진단제품은 아프리카에서 주로 발병하는 열대열 말라리아 진단 제품 뿐 아니라 여러 종류의 말라리아 진단도 병행할 수 있는 Combo RDT 제품 등 11가지종류의 제품을 보유.",KRX,528.3180127
025900-KR,CP0000002516,동화기업,"Dongwha Enterprise Co., Ltd","동사는 1948년 4월에 설립되었으며, 1995년 8월 7일 코스닥시장에 상장함. MDF, PB, MFB, 화학, 건장재 사업을 영위하고 있으며, 파티클보드 및 MDF 국내 점유율 1위를 보이고 있음. 2019년 8월 전해액 등 전자재료의 제조 및 판매를 주요 사업으로 하고 있는 동화일렉트로라이트 (구,파낙스이텍)를 인수하여 2차 전지 전해액 제조 사업을 시작함.",KRX,1173390
000670-KR,CP0000002593,영풍,Young Poong Corporation,"1949년 11월 설립되어 아연괴 및 기타 유가금속등을 제조, 판매하는 종합비철금속제련회사로 비철금속을 제련하는 사업을 영위하고 있음. 자회사를 통해 인쇄회로기판 제조업, 반도체 패키지업, 용역, 농업 등을 영위하고 있으며 당기말 현재 총 14개의 연결대상 종속회사를 보유 중임. 당기말 기준 사업부문별 매출비중은 제련 36.6%, 전자부품 73.3%, 반도체 6.6%, 상품중계 0.5% 및 연결조정 -17.1%로 구성됨.",KRX,908231
067630-KR,CP0000002692,에이치엘비생명과학,"HLB Life Science Co.,Ltd.","동사는 1998년 7월24일에 설립됐으며, 2008년 11월 25일에 코스닥시장에 상장함. 동사는 현재  신규사업의 일환으로 3개의 신규한 기전의 항암 신약 물질에 대한 국내 전용실시권을 보유하고 있음. 에너지 사업부문에서는 하수처리시설의 에너지 효율화 사업을 통해 새로운 도약의 발판을 마련하였으며, ESCO투자실적을 바탕으로 한 소각플랜트산업에 진출하기 시작함.",KRX,1174630
097520-KR,CP0000002694,엠씨넥스,"MCNEX Co., Ltd.",동사는 2004년 12월 22일 CCM기술을 기반으로 설립한 영상전문기업으로써 휴대폰용 카메라모듈과 자동차용 카메라모듈을 주력제품으로 생산하고 있음. 동사는 초소형 카메라모듈 분야에 대한 핵심 기술력을 바탕으로 사업영역을 확장하여 매출액과 수익률의 지속적인 신장을 계획하고 있음. 종속회사 엠씨넥스에프앤비는 당사의 송도 사옥 취득에 따라 임직원 복지 증진을 위하여 22년 1월 14일 설립됨.,KRX,576038
183300-KR,CP0000003151,코미코,KoMiCo Ltd.,"동사는 2013년 8월 코미코의 정밀세정, 특수코팅 사업부문의 독립성과 전문성을 극대화하기 위하여 물적분할을 통해 신설된 회사임. 동사의 사업부문은 경기에 민감하지 않고, 고객사의 사업이 지속되는한 반드시 필요한 사업이며, 원가절감 필요성이 대두될 경우 신규 부품에 대한 대체재로서 수요가 늘어나는 경향 매출구성은 코팅(제품) 56.6%, 세정(제품) 34%, 부품(상품) 4.2%, 부품(제품) 4.2% 등으로 이루어져 있음.",KRX,497651
093370-KR,CP0000002707,후성,"Foosung Co., Ltd","동사는 2006년 11월 23일에 설립되었으며, 2006년 12월 22일 한국거래소 유가증권시장에 상장됨. 동사는 냉매가스, 반도체용 특수가스, 2차전지 전해질 소재 'LiPF6' 를 국내에서 유일하게 전문적으로 제조, 판매하는 업체임. 동사는 '후성폴란드유한회사'를 비롯하여 총 5개의 연결대상 종속회사를 가지고 있으며 기업집단 '후성그룹'에 속해 있는 기업임.",KRX,1639140
353200-KR,CP0000003048,대덕전자,"Daeduck Electronics Co., Ltd.","동사는 반도체 및 Mobile 통신기기 등 각 분야에 걸쳐서 첨단 PCB를 공급하고 있음. PCB는 회로 위에 반도체와전자부품을 실장하여 각 부품들을 전기적으로 연결해주는 부품으로, 동사는 이러한 PCB 제조 및 판매를 주요 사업으로 영위하고 있음. 그 외에도 4차 산업을 주도할 5G통신, 인공지능, 빅데이터 등의 기술에 요구되는 대용량, 다기능화, 초박판화에 대응하기 위해 선행기술을 확보하여 첨단 제품을 생산하고 있음.",KRX,1470680
079160-KR,CP0000002775,CJ CGV,"CJ CGV Co., Ltd","1999년 3월에 CJ엔터테인먼트와 호주의 Village Cinema International PTY LTD 2개사의 합작법인인 CJ Village(주)로 설립. 고품질의 멀티플렉스 극장을 국내에 최초로 보급, 단일관 위주 상영문화를 종합엔터테인먼트 플랫폼으로 선진화. 영화 상영업계에서 시장점유율 1위의 타이틀을 유지하고 있으며 ScreenX, 4DX 및 골드클래스, 씨네드쉐프, 템퍼시네마 등 프리미엄 상영관을 운영하고 있음.",KRX,846013
017810-KR,CP0000003131,풀무원,"Pulmuone Co., Ltd","동사는 식품제조업 등을 주사업 목적으로 1984년 설립되었으며, 2008년 7월 인적분할을 통해 순수지주회사로 출범함. 지주회사로서 자회사간의 시너지 효과와 경영효율 극대화를 위한 노력을 지속함. 풀무원식품, 풀무원푸드앤컬처, 풀무원건강생활, 풀무원녹즙 등 총 30개의 연결 종속회사를 보유함. 주력 제품인 두부는 전반적인 소비량이 감소 추세였지만 코로나19 이후 가정내 취식이 늘면서 두부 소비가 증가함.",KRX,483536
121800-KR,CP0000003133,비덴트,Vidente Co. Ltd.,"동사는 HD디지털 방송용 디스플레이의 개발, 제조 및 판매를 주요 사업으로 영위함. Tvlogic America. co., Ltd와 넥스토디아이 2개 회사를 연결대상 종속회사로 두고 있음. 미국의 Marshall Electronics, Flanders Scientific, Ikan, SmallHD 독일의 HD2Line, 영국의 Vutrix 등이 주요 경쟁사임. HD 디지털 방송용 디스플레이 글로벌 시장에서 소니에 이어 2위임.",KRX,656857
005440-KR,CP0000002773,현대그린푸드,"Hyundai Green Food Co., Ltd.","동사는 1968년 설립되어 1989년 상장함. 동사와 종속회사는 푸드서비스, 가구, 식자재, 공산품 유통, 중장비 사업 등을 보유함. 푸드서비스사업은 단체급식, 식재사업/유통사업/법인영업/중장비사업은 직거래 그리고 기타사업부문은 소프트웨어 개발 및 공급업, 임대, 여행사업등으로 구분됨. 2022년 1분기 기준 가구 사업이 매출 비중 23.3%로 규모가 가장큼.",KRX,677502
000070-KR,CP0000002965,삼양홀딩스,Samyang Holdings Corporation,"동사는 다른 회사의 주식을 소유함으로써 그 회사 지배를 목적으로 하는 지주사업과 투자 및 임대사업 등을 영위하는 사업지주회사임. 삼양사, 삼남석유화학 등을 포함하여 7개의 자회사를 두고 있음. 연결대상 종속회사들이 영위하는 사업으로는 식품부문(삼양사, 삼양에프앤비), 화학부문(삼양사, 삼양패키징, 삼양공정소료상해유한공사, 삼양EP헝가리, 삼양이노켐, 케이씨아이, 삼양EP베트남), 기타가 있음.",KRX,571950
074600-KR,CP0000003142,원익큐엔씨,WONIK QnC Corporation,"반도체 및 디스플레이 제조에 사용되는 석영제품(쿼츠)와 산업용 세라믹을 제조하는 업체로 2003년 11월 원익으로부터 기업분할로 설립됨. 동사의 사업은 쿼츠, 세라믹, 램프, 세정의 4개 부문이며, 쿼츠부문은 총 11개(미국3, 대만1, 독일2, 일본1, 중국2, 태국1, 국내1)의 종속기업을 포함함. 2020년 1월 MOMQ Holding를 통하여 미국의 반도체용 소재 전문회사인 모멘티브사의 쿼츠/세라믹 부문 4개사를 인수함.",KRX,663772
192400-KR,CP0000002783,쿠쿠홀딩스,"Cuckoo Holdings Co., Ltd.","동사는 전기밥솥 업계 국내 1위인 당사는 주방가전, 생활가전 등 전분야에 걸친 사업 전개를 통해 건강생활가전기업임. 동사는 2007년 전기밥솥(전기압력밥솥) 품목으로 세계일류상품에 선정되었으며, 현재까지도 세계일류상품으로 인정을 받고 있음. 동사와 쿠첸이 국내 전기밥솥 시장의 대부분을 차지하는 과점, 동사의 시장점유율은 약 70%로 압도적 우위를 점하고 있음.",KRX,540764
079550-KR,CP0000002784,LIG넥스원,"LIG Nex1 Co., Ltd.","동사는 1998년 2월 25일 설립되었으며 모태는 1976년 대한민국 자주국방의 기치 아래 설립된 금성정밀공업임. 동사는 주요 고객인 한국정부(방위사업청, 국방과학연구소, 각군 등)와 계약을 통해 제품의 연구개발, 생산, 성능개량, 후속지원 등을 주요 사업임. 동사는 LG이노텍 주식회사로부터 방위산업 부문을 영업양수 받았으며, 방산물자의 연구개발, 제조, 정비 및 판매 사업을 주된 영업으로 영위.",KRX,1776240
002840-KR,CP0000002597,미원상사,"Miwon Commercial Co., Ltd","1959년 설립된 동사는 황산 및 분말유황을 주축으로 하는 기초화학회사로 출발함. 현재는 계면활성제, 자외선안정제, 산화방지제, 고무첨가제, 전자재료 등 첨단화학제품을 생산하는 회사로 성장하였음. 동사를 제외하고 20개의 계열회사를 가지고 있음. 매출구성은 계면활성제와 감광제가 약 90% 수준을 유지하고 있으며, 산화방지제/자외선안정제와 기타부문이 나머지를 차지하고 있음.",KRX,889865
011930-KR,CP0000003127,신성이엔지,SHINSUNG E&G Co.LTD.,"동사는 FFU/EFU, 클린룸 및 공조시스템, 드라이룸 등 제조, 설치공사를 취급하는 클린환경 사업부문, 태양광 관련 제품, 시스템 및 상품과 관련된 재생에너지 사업부문을 영위함. 동사의 클린룸 사업은 클린룸 전체 설비 중에서 공기정화설비에 관련된 사업이며, 일반 빌딩 및 공장에 대한 공조 장비 제조 및 설치공사, 이차전지 생산시설의 드라이룸 등을 포함. 동사의 기타 사업부문에는 임대, 용역, 서비스 사업이 있음.",KRX,380668
084990-KR,CP0000002877,헬릭스미스,"Helixmith Co., Ltd.","동사는 1996년 서울대 학내 벤처로 설립되어 2005년 코스닥시장에 상장하고, 2019년 바이로메드에서 헬릭스미스로 사명 변경함. 플라스미드 DNA 플랫폼을 이용한 유전자치료제를 개발하는 바이오신약 사업과 천연소재의 약효를 검증하는 천연물신약 사업을 영위함. 임상단계 파이프라인으로 DNA 기술 기반의 VM202(당뇨병성신경병증, 족부궤양, 루게릭병), VM206(유방암)과 재조합 단백질 기반의 VM501(혈소판감소증)이 있음.",KRX,677581
217270-KR,CP0000002890,넵튠,Neptune Co,"동사의 주력 사업분야는 모바일 게임의 제작으로 플랫폼별로는 모바일 게임에 속하고 장르별로는 캐주얼게임 및 퍼즐게임을 서비스하고 있음. 적극적인 M&A를 통해서 당사가 개발 역량을 보유하고 있지 않은 다양한 장르의 라인업을 확보하고 있으며, 종속회사는 소셜카지노게임, MOBA, RPG, 퍼즐, 디펜스 장르 등을 개발 및 서비스 크로스 플랫폼 특허 기술을 가진 VR 메타버스 플랫폼 개발사인 '(주)맘모식스'를 인수함.",KRX,497420
001440-KR,CP0000002665,대한전선,"Taihan Electric Wire Co., Ltd.","동사는 1955년 02월 21일에 국내 최초 종합전선 회사인 대한전선 주식회사로 설립됨. 동사 포함 총 8개의 계열회사를 가지고 있음. 동사의 주요사업은 전선부문과 기타부문으로 구분되며, 주요 제품으로는 초고압케이블, 통신케이블, Copper Rod 등이 있음. 60여년 동안 우수한 신뢰도와 제품력이 가장 큰 강점이며, 특히 현존하는 최고 등급인 500kV 지중 초고압케이블의 생산 및 운영능력에 대해 세계적으로 인정받고 있음.",KRX,2097740
020560-KR,CP0000002600,아시아나항공,Asiana Airlines Inc.,"항공운송업은 그 시장의 성격이 매우 상이한 여객과 화물로 나뉘어져 있음. 아시아나항공 등 항공 3사 및 국내 양대 공항공사의 시스템 구축 및 운영 노하우를 기반으로 대외 사업을 영위하고 있으며, 항공/공항IT 전문기업으로서 높은 시장 지위를 확보 아시아나항공은 국내여객 9개 도시, 9개 노선, 국제여객 21개 국가, 64개 도시, 71개 노선과 국제화물 12개 국가, 27개 도시, 25개 노선의 네트워크를 보유",KRX,1093850
022100-KR,CP0000002601,포스코아이씨티,"POSCO ICT Co., Ltd.","동사는 소프트웨어 개발, 정보처리 및 정보통신서비스업 등을 영위할 목적으로 1989년 11월 15일에 설립되었으며 2000년 11월 28일 코스닥시장에 상장함. 동사와 연결대상 종속회사는 IT서비스 사업과 시스템 엔지니어링 사업을 영위하고 있으며 당사를 포함한 연결대상 회사는 총 4개사임. 4차 산업혁명 시대에 새로운 성장동력을 확보하기 위한 솔루션 사업을 적극적으로 추진하고 있음.",KRX,850124
026890-KR,CP0000002916,디피씨,"Digital Power Communications Co., Ltd","사모펀드(PEF) 운용사 최초로 유가증권시장에 상장하였으며, 2021년 12월 17일 합병을 통해 상호를 변경하였음. 변경전 상호는 '디피씨주식회사'임. 동사는 사모투자(Private Equity) 사업을 영위하는 회사로서, 자본시장과 금융투자업에 관한 법률에 의거 금융감독원에 등록된 기관전용 사모집합투자기구 운용회사임. 2021년 12월말 운용중인 조합은 14개로 전체 펀드 규모(AUM)는 48,275억원을 기록하고 있음.",KRX,280679
088800-KR,CP0000002978,에이스테크놀로지,Ace Technologies corp.,"2006년 에이스테크놀로지에서 인적분할해 에이스안테나로 설립 후, 2010년 에이스테크놀로지와 분할합병을 통해 현재 사명으로 변경. 사업분야는 모바일 네트워크 관련 장비사업으로, 기지국 안테나, 기지국용 RF장비, 모바일 디바이스용 안테나 그리고 RF 커넥터 등임. 신규사업으로 레이더, 유도무기체계,지휘통신체계,위성통신,데이터링크등의 방산용안테나 부문에 2008년부터 개발업체로 참여하여 매출이 지속적으로 발생하고 있음.",KRX,331384
284740-KR,CP0000002776,쿠쿠홈시스,"CUCKOO HOMESYS CO.,LTD","동사는 쿠쿠홀딩스(주)에서 2017년 12월 01일 인적분할하여 설립되었으며,  2018년 01월 11일 유가증권시장에 재상장되어 거래가 개시되었음. 생활가전 제조 및 렌탈사업 등을 주요 사업목적으로 하며, 주력 부문인 생활가전렌탈 품목은 정수기, 비데, 공기청정기 등이며 전기레인지, 안마의자, 매트리스 등으로 영역 확대 중임. 해외 현지에 맞는 제품과 서비스 개발, 유통망 확보를 통해 해외 렌탈법인을 확대하고 있음.",KRX,676034
012630-KR,CP0000003030,HDC,"HDC HOLDINGS CO., Ltd.","동사는2018년 인적분할됨에 따라 투자, 브랜드수수료, 경영자문수수료, 배당수익, 임대수익 등 지주회사 사업을 영위. 동사의 건설부문에 에이치디씨현대산업개발(주),에이치디씨아이앤콘스(주), 에이치디씨랩스(주)가 있음. 유화부문의 에이치디씨현대이피(주)는 석유화학 산업으로부터 PP,PE 등의 주요 원료를 조달하여 자동차, 전기/전자, 소비재 및 건설 산업용 용도에 특화되어 있는 플라스틱 소재를 생산, 공급하는 PO부문 사업을 영위.",KRX,373886
092040-KR,CP0000003031,아미코젠,"Amicogen, Inc.","동사는 2000년 설립된 제약용 특수효소 개발 기업으로, 2013년 코스닥 시장에 기술성장기업으로 특례상장함. 주요 사업영역은 유전자 진화기술을 바탕으로 한 특수효소, 헬스케어, 바이오의약품소재사업임. 제약용 특수효소인 아목시실린 합성효소(SP효소) 및 세파계항생제 합성효소(SC효소)를 개발, 사업화 진행 중. 단백질 분리 정제용 레진 개발 및 사업화도 추진중.",KRX,455575
001880-KR,CP0000002972,DL건설,"DL Construction Co., Ltd.","동사는 종합건설업체로서 건축사업과 토목사업으로 분류하였을 때, 건축사업은 일반외주건축, 공공건축, 조경사업, 주택(재건축/재개발, 도급사업) 등을 영위. 토목사업은 종합심사제, 종합평가낙찰제 및 적격 공공공사, 민자SOC, Turn-key사업 등에 참여하고 있음. 1970~80년대 서울 강남지역에서 대규모 주택 공급을 통하여 국내 아파트 문화를 선도해왔으며, 2021년 건설업 시공능력 순위 12위를 기록함.",KRX,460825
268280-KR,CP0000002780,미원스페셜티케미칼,Miwon Specialty Chemical Co. Ltd.,"동사는 UV경화에 사용되는 핵심 원료인 아크릴계 제품 및 광개시제를 생산, 판매함. 세부적으로 PVC상재용, 목공용 시장의 기반 위에서 출발한 이후 잉크분야 및 각종 필름 코팅 사업을 하고 있음. 현재 국내 제조업체 중 에너지경화수지 분야에서 가장 오래된 역사를 가지며, 국내 시장점유율은 50% 이상으로 추정됨. 동사의 UV경화수지는 산업중간재적 원재료 성격이 강해 경기변동에 따른 최종 소비자제품의 생산수요에 영향을 받음.",KRX,982940
206650-KR,CP0000002781,유바이오로직스,"EuBiologics Co., Ltd.","동사는 물리, 화학 및 생물학 연구개발업을 영위할 목적으로 2010년 3월 설립되었으며 2017년 1월 코스닥 시장에 상장함. 주요제품은 콜레라백신 치료제(유비콜)과  바이오의약품 수탁 연구 및 수탁 제조 등이 있으며, 국내 중소 바이오업체들의 임상시료를 생산하고 있음. 동사는 20년 상반기 부터 코로나-19 팬데믹에 대응하기 위해 코로나-19 백신, 유코백-19 백신을 개발 중에 있음.",KRX,577650
007570-KR,CP0000003169,일양약품,"Il-Yang Pharmaceutical Co., Ltd","동사는 1946년 설립되어 의약품 등의 제조 및 판매업 등을 영위하는 기업으로 주요 제품으로는 놀텍, 슈펙트, 하이트린, 원비디 등이 있음. 동사의 신약 항궤양제 '놀텍'은 위십이지장궤양 및 위궤양으로 국내 14번째 신약으로 허가를 받은 이후 역류성식도염 및 H.pylori 제균요법 적응증을 추가하였음. 수출을 통한 시장 확대를 목적으로 WHO PQ승인을 완료하였으며, 다국가에 완제품 및 원료 수출을 진행하고 있음",KRX,434866
001430-KR,CP0000003084,세아베스틸,SeAH Besteel Corp.,"동사는 1955년 4월 5일에 설립되어 1991년 한국거래소 유가증권시장에 상장하였고, 2003년 12월 세아그룹에 편입함. 동사는 탄소합금 특수강을 주력으로 생산, 판매하는 세아베스틸과 스테인리스 특수강을 주사업으로 영위하는 종속회사 세아창원특수강, 세아항공방산소재 등으로 구성된 철강 전문회사임. 2020년 9월 해외(중국)자회사 SeAH CTC CO.,Ltd.을 설립 출자함.",KRX,517042
001720-KR,CP0000002774,신영증권,"Shinyoung Securities Co., Ltd.","동사는 1956년 설립되어 증권, 장내외 파생상품 등의 투자매매업 및 투자중개업, 신탁업, 투자자문업, 투자일임업 등을 영위하고 있으며, 당반기말 현재 본점 포함 9개 지점을 운영하고 있음. 종속기업으로는 신영자산운용과 2019년 10월에 본인가를 취득한 신영부동산신탁 등이 있음. 다변화된 수익 구조와 체계적인 리스크 관리, 선제적 시장 대응 능력 등을 통해 안정적인 수익모델을 공고히 하고, 차별화된 경쟁력 확보에 힘쓰고 있음.",KRX,443735
192820-KR,CP0000002523,코스맥스,"COSMAX, Inc.","1992년 설립된 화장품 연구개발 생산 전문기업으로 한국을 대표하는 화장품 ODM 전문 기업으로, 화장품 ODM 매출 기준으로 전 세계에서 가장 큰 기업임. 국내 외 수많은 브랜드에 화장품을 공급하며, 해외 고객으로 세계 최대 화장품 그룹인 L그룹을 비롯 글로벌 E그룹, S그룹 등에 제품을 공급함. 대표적인 제품은 젤 타입의 아이라이너와 쿠션 파운데이션으로, 젤 타입 아이라이너는 단일 품목으로는 최초로 4천만개 이상을 생산함.",KRX,789653
013890-KR,CP0000002449,지누스,Zinus Inc,"온라인 판매를 주력으로 하는 글로벌 매트리스 및 가구 기업. 생산부터 판매에 이르기까지 전 영역에 걸쳐 글로벌 수직계열화를 구축. 동사는 판매하는 거의 모든 제품들을 해외 공장에서 자체 적으로 생산 중. 중국, 인도네시아, 미국에 전문화된 생산 시설을 보유. 동사는 침대 및 가구 전문점이 독점하고 있던 침대 판매시장에서 온라인 판매 경로를 개척하여 유통 시장이 획기적으로 변화하는 발단.",KRX,781428
263050-KR,CP0000003268,유틸렉스,"Eutilex Co., Ltd.","2015년 설립된 동사는 면역항암 세포치료제와 면역항암 항체치료제 사업을 동시에 영위하고 있으며, 신기술 및 신약개발 제품 제조 및 판매하고 있음. 동사의 면역항암 세포치료제는 제품별로 임상실험을 진행중임. 세부적으로는 제품별로 비임상 및 기초연구개발 착수 중임. 나아가 기존 항암제가 가지는 부작용을 최소화하고 치료 효과를 획기적으로 향상시킨 차세대 면역 기반 항암제인 T 세포 치료제를 개발중임.",KRX,162401
144510-KR,CP0000002525,녹십자랩셀,Green Cross LabCell Corporation,"동사는 세포치료제 연구 및 개발사업 및 수탁검사를 위한 검체 운반, 영업에 관한 사업을 목적으로 2011년 설립된 바이오회사임. 현재는 미국에서 관계기업인 Artiva社를 통해 NK세포치료제 임상시험이 진행되고 있으며, 당사의 원천기술력으로 2021년 1월 MSD社와 2조원대 CAR-NK 플랫폼 기술수출 계약을 체결하는 등 기술력을 인정받음. 자연살해 세포, 줄기세포 외에도 T 세포치료제와 CDMO 사업까지 영역을 확장하였음.",KRX,888983
003380-KR,CP0000002879,하림지주,"Harim Holdings Co., Ltd.","동사는 1950년 설립되어 별도의 사업을 영위하지 않는 순수 지주회사의 성격을 취하고 있으며, 2017년 코스닥시장에 상장함. 동사를 비롯하여 핵심 자회사로는 팬오션, 제일사료, 하림, 선진, 팜스코, 엔에스쇼핑이 있음. 닭고기 가공 부문과 브랜드 돈육 부문, 사료 제조 판매, 건화물 물동량 부문에서 국내 1위의 리더십을 확보하고 있으며, 국내 최고의 계열화 시스템을 갖춤.",KRX,778878
222800-KR,CP0000003054,심텍,"Simmtech Co., Ltd.","동사는 인적분할로 설립된 신설 회사로 2015년 8월 재상장하였으며, 분할 전 회사인 심텍홀딩스의 인쇄회로기판 제조사업부문 일체를 영위. 글로벌 Big 4 메모리 칩 메이커인 삼성전자, SK하이닉스 등과 Big 5 패키징 전문기업 ASE, Amkor 등을 고객사로 확보하여 안정적인 성장을 지속 중임. 동사의 제품은 지속적인 기술개발을 바탕으로 선도기술인 패턴 매립형 기판(ETS)은 2016년 세계일류화 상품에 지정된 바 있음.",KRX,1245170
049770-KR,CP0000003023,동원 F&B,"Dongwon F & B Co., Ltd.","동사는 2000년 11월 1일 동원산업으로부터 분할하여 설립되었으며 일반식품부문, 조미유통부문, 사료부문, 온라인사업부문으로 구성되어 있음. 동사의 일반식품은 동원 브랜드의 참치캔 등, 양반 브랜드의 조미김 등, 덴마크 등 유가공제품, 리챔의 육가공제품 등으로 확장해왔음. 2021년 4월에는 온라인사업부문의 전문성을 강화하고 경영효율성을 제고하기 위해 해당 온라인 사업부를 동원디어푸드(주)로 물적분할하였음.",KRX,598164
222080-KR,CP0000003008,씨아이에스,Creative & Innovative System Corp.,"2002년 9월 설립된 동사는 리튬 이차전지 생산을 위한 전극 제조관련 장비를 전문 제작하며 2차 전지 전공정인 Coater, Calender, Slitter, Tape Laminator 및 기타설비 등을 생산. 코팅공정에서 기존 열풍 방식의 건조 시스템의 틀에서 벗어나 과열증기를 이용한 건조 방식의 코터를 개발하여 생산성을 높임. 슬리팅 공정에는 불량 부분을 식별하는 라벨러에 대한 특허를 보유하고 있음.",KRX,860125
115390-KR,CP0000002963,락앤락,"Lock & Lock Co., Ltd","동사는 밀폐용기 및 주방생활용품의 제조ㆍ유통업을 주요 사업으로 영위하고 있음. 1998년 출시된 4면 결착 방식의 Lock Type 밀폐용기는 품질 우수성을 바탕으로 시장점유율 1위를 유지하고 있음. 동사는 제품 및 사업군을 밀폐용기에서 소형가전 등 종합생활용품 전 분야로 확대하여 다양한 제품을 생산, 판매하고 있음. 중국, 베트남, 미국 및 유럽 등 120여개 전세계 시장에 락앤락 브랜드를 확장하고 있음.",KRX,414154
101490-KR,CP0000003026,에스앤에스텍,S & S Tech Corporation,"동사는 반도체 및 TFT LCD 생산에 쓰이는, 노광 공정의 핵심 재료인 포토마스크의 원재료로서 패턴이 노광되기 전 마스크인 블랭크 마스크 제조 및 판매를 영위하고 있음. System LSI, LCD, OLED 등 국내 고부가가치 확대와 중국 패널업체 전방 산업 투자 확대에 대응하여 제품 및 고객 확대를 위해 노력 중. 블랭크마스크 상품이 매출의 98% 가량 차지하고 있으며, 중국 패널업체 수요 확대를 위한 신규 공장을 증설함.",KRX,430144
214450-KR,CP0000003085,파마리서치,"PharmaResearch Co., Ltd.","2001년 3월 설립되어 의약품, 의료기기, 화장품 등 재생제품을 생산, 판매하는 재생바이오 전문 제약회사. 인체 고유의 재생 매커니즘을 활성화 및 촉진시키는 물질인 PDRN, PN의 제조기술을 확보하였으며, 국내 공장 설립으로 원재료 조달부터 완제품 제조까지 국산화에 성공. PDRN 및 PN 제조 원천기술을 바탕으로 관절강주사인 콘쥬란 개발, 기능성 화장품 출시, 건강기능식품 등 해당 물질의 적용 범위를 확장.",KRX,709285
071840-KR,CP0000002746,롯데하이마트,"LOTTE Himart Co., Ltd.","1987년 6월 하이마트로 설립된 동사는 가전제품 도소매업을 영위하며, 2021년말 기준 427개의 점포와 14개의 물류센터를 운영 중임. 동사의 최대주주는 2008년 유진기업으로 변경된 후 2012년 10월 롯데쇼핑으로 다시 바뀌었으며, 상호도 롯데하이마트로 변경함. 주요 판매 제품은 백색 및 생활/주방가전, 영상 및 IT가전이며 매출 구성비는 2021년 말 기준 백색 및 생활/주방가전이 67%, 영상 및 IT가전이 33%임.",KRX,395620
082270-KR,CP0000002748,젬백스&카엘,GemVax & KAEL Co Ltd,"반도체 및 디스플레이용 코팅 레진, 필터 제조 및 판매 업체로 1998년 설립됨. 연결대상 종속회사는 2개사이며, 환경오염제어 사업 및 바이오 사업(항암 및 항염)을 영위함. 주력제품을 응용한 특수가스제거장치 및 대기오염방지설비와 같은 환경오염방지 및 유해가스제거장치 등도 생산함. 바이오 관련사업을 특화하여 전문화할 법인(카엘젬백스)을 설립하여 2008년 10월 노르웨이 소재 법인인 GemVax AS의 지분 100%를 인수함.",KRX,533779
036830-KR,CP0000002825,솔브레인홀딩스,"Soulbrain Holdings Co., Ltd.","1986년 5월 6일에 대한민국에서 설립됨. 지배기업은 2000년 1월 18일에 KOSDAQ 시장에 상장됨. 다른 회사의 주식을 소유함으로써 그 회사를 지배하는 것을 목적으로 하는 지주회사 체제로 전환됐으며, 주요 수익원은 자회사 등으로부터 받는 배당금, 경영자문수익, 임대수익 등임. 동사의 사업부문은 지주회사 부문, 디스플레이, 2차전지, 반도체, 그리고 바이오헬스케어 부문으로 나뉨.",KRX,417365
272290-KR,CP0000003398,이녹스첨단소재,"INNOX Advanced Materials Co., Ltd.","동사는 이녹스로부터 인적분할을 통해 신규 설립되었으며, 2017년 7월 10일 코스닥시장에 상장되었음. 현재 고분자 합성/배합기술을 기반으로하여 FPCB용 소재, 반도체 PKG용 소재, 디스플레이용 OLED 소재등을 개발, 제조 및 판매하는 IT소재 사업을 하고 있음. 매출 구성은  FPCB용 소재 34%를 필두로, 반도체 PKG용 소재 8.57%, 디스플레이용 OLED 소재 57.43%.",KRX,702387
080580-KR,CP0000003485,오킨스전자,"OKins Electronics Co., Ltd.","동사는 1998년 4월 반도체 검사용 소켓 등의 제조 및 판매를 주사업목적으로 설립되었으며, 2014년 12월 코스닥시장에서 상장함. 동사와 종속회사는 반도체 검사용 소켓 제조 사업과 반도체 테스트 용역 사업을 영위함. 종속회사로는 한국영다반도체, Vision Tech (Suzhou) 등 국내외에 2개사가 있음. 반도체 Chip제조 장비에 장착되어 소모성 원부자재로 사용되는 Magnetic Collet 제조사업을 시작함.",KRX,361542
